"咖啡",240.581666070943
"httppicpimgtwtainanlohasjpg",205.959541883016
"牛肉麵",203.130620459706
"料理",180.373394659362
"牛肉",180
"義大利",176.391141048183
"麵包",165.319078666849
"乳酪",163.274765851623
"蛋糕",160.527221314186
"蛋黃",156.326903474959
"豆漿",154.237960184036
"店家",146.304392867521
"巧克力",137.650216007411
"午餐",136.993757598354
"柚子",133.979770941508
"error",133.943491738768
"檸檬",131.532428629303
"板橋",129.555195700607
"長興",126.23326760572
"nt",121.587591591634
"冷熱",119.589411415945
"老闆",117.400505140226
"起來",117.242179495934
"推薦",117.239774107075
"覺得",117.226823623584
"用餐",115.200309344505
"搭配",114.966632689928
"非常",114.270011839207
"拉麵",113.6490232935
"口感",113.16602802919
"涼麵",112.94555522617
"merci",112.877123795494
"豬肉",112.576938349798
"xd",112.018770313263
"相當",111.405653128009
"jpg",111.295661159179
"口味",111.041959970538
"朋友",109.720031875651
"沙拉",106
"飲料",105.366636484182
"高雄",104.002385427821
"好吃",103.680278410054
"奶油",102.255733940975
"味道",101.262877014081
"特別",100.46653521144
"一起",99.0677057478224
"部分",98.0002730044953
"大家",97.5671862953925
"湯頭",97.5335347510147
"比較",96.5996053400073
"這家",96.4963876085119
"知道",96.4963876085119
"trattoria",96.1189800920178
"這次",96
"系列",95.912531692928
"漢堡",94.7402609341429
"早餐",94.5865538954023
"提供",93.7961420849751
"看到",93.3122505690491
"台灣",93.2929462835793
"wt",93.0139866568461
"燒肉",92.8771237954945
"不錯",92.5095092563641
"鮭魚",92.3483125629854
"建築",92.0760304252109
"法式",91.0964047443681
"蕃茄",90.7604899926346
"無業",90.7604899926346
"份量",90.6704970053403
"沒有",90.6543722133739
"應該",90.4091890620582
"菜單",89.6579620802235
"雞肉",89.4737671983535
"其實",88.8592524567135
"不同",88.781528317729
"可愛",88.6493610242521
"台北市",88.5852453024765
"店員",87.5828990133186
"海鮮",87.5828990133186
"套餐",87.2472542625659
"一口",86.4735349402499
"清真",86.3701304670714
"價格",86.1726538487803
"調味",86
"喜歡",85.9883383494502
"感覺",85.7703888133391
"麵條",85.5584731458466
"琉球",84.6578428466209
"中國",84.6578428466209
"venti",84.6578428466209
"轉錄",84.6297666246007
"今天",84
"這種",84
"日本",83.8575036715899
"指數",83.589411415945
"美味",83.5669082802462
"介紹",83.3069343788507
"香氣",82.7933340900046
"美食",82.5401465466151
"座位",82.150258953769
"炒飯",82.1166338028599
"服務",82
"組合",81.9595418830165
"選擇",81.7922196345986
"下午",81.6397292149696
"發現",81.6234918086126
"有點",81.3500198547377
"裡面",81.225653567284
"嘉義",80.9422990248571
"分享",80.8060557795533
"實在",80.5711808812731
"真的",80.3265581521634
"肥皂",79.7262742772967
"httpsharephotoxuitenetzexjpg",79.7262742772967
"排隊",79.4220354960794
"一下",79.4140143312289
"招牌",79.3366848796728
"水果",79.3156856932417
"空軍",79.0139866568461
"雞翅",78.9455552261703
"算是",78
"很多",77.9937575983544
"紅燒",77.7947057079725
"新竹",77.7947057079725
"可能",77.4477161920615
"干貝",76.7300253543424
"新鮮",76.6918668383048
"香味",76.5855342283623
"番茄",76.4723422263392
"使用",76.45485998981
"上面",76
"已經",75.7932423937117
"台北",75.5587475044503
"客人",74.2704354186725
"適合",74.2704354186725
"空間",74
"emily",73.4727776130852
"冰淇淋",73.4134485372856
"豆沙",73.3701304670714
"４０元",73.082418087522
"東海",73.082418087522
"貴賓",73.082418087522
"橄欖油",73.0600864029642
"一點",72.3296723500879
"出來",72.0612791168749
"濃郁",72
"一間",71.74400446164
"個人",71.4350077858861
"茶碗",70.82451164675
"肉絲",70.82451164675
"一定",70.6858161603132
"紅茶",70.6419953192072
"大概",70.0023854278213
"直接",69.7870481732506
"大安",69.7604899926346
"稍微",69.7604899926346
"完全",69.2760550549018
"布丁",69.1508495181978
"豬排",69.1508495181978
"整體",68.0028727540052
"之前",67.9434917387678
"牛角",67.7262742772967
"價位",67.7171617052603
"似乎",67.6985788475735
"蔬菜",67.6985788475735
"值得",67.5461630098789
"小時",67.2956611591785
"主廚",67.2956611591785
"裝潢",67.0860029372719
"花生",66.872915993886
"製作",66.872915993886
"左右",66.872915993886
"位置",66.7961420849751
"首里",66.4385618977472
"飲酒",66.4385618977472
"加上",66.0761600355435
"清爽",65.8845980497142
"特色",65.8845980497142
"好像",65.7291212452491
"旁邊",65.687174259989
"剛好",65.5327371341228
"需要",65.294624242883
"帶有",64.7551623759399
"不少",64.6900742609408
"現在",64.3222108966427
"建議",64.2249353787827
"包廂",64.2127191112324
"來說",63.8257043606606
"有趣",63.6884914227485
"菜色",62.5769383497982
"沖繩",62.082418087522
"清燉",62.082418087522
"看看",62
"蘋果",61.9455552261703
"一種",61.8482797083103
"一份",61.7668106716071
"三明治",61.3840202834739
"生魚片",61.3840202834739
"漂亮",61.3534403645852
"下來",61.3534403645852
"簡單",61.163887991848
"桃園",60.8834053358035
"本身",60.8086923648187
"服務費",60.8086923648187
"一次",60.791546708891
"餐館",60.7067242686428
"橄欖",60.5069933284231
"滿分",60.5069933284231
"櫻桃",60.5069933284231
"主食",60.5040668516111
"綿羊",59.7947057079725
"鐵漢",59.7947057079725
"cafe",59.7947057079725
"chinhao",59.7947057079725
"im",59.7947057079725
"那種",59.3743485199779
"上頭",58.8683294326727
"風味",58.5400079418951
"附近",58.302494149009
"呈現",58.3016990363956
"醬油",58.1189800920178
"試試",58.0482023721841
"香腸",57.5475190157568
"cp",57.4762774774903
"豆腐",56.82451164675
"雞湯",56.82451164675
"薯條",56.82451164675
